Sample	Median	>80%
16150X1	9.074410163339380	0.08628503674271560
16150X3	9.074410163339380	0.09752444428294690
16150X4	8.27357970215113	0.10614713993142100
16150X6	9.074410163339380	0.11275741255317200
16150X7	9.46372239747634	0.13154380970084300
16150X9	9.345794392523370	0.16105876220279900
16150X11	9.074410163339380	0.11726611596063900
16150X12	9.074410163339380	0.1198713209148860
20583X1	37.07948243992610	31.677314758728300
20583X2	25.186539326643400	23.359628847122700
20583X3	56.94006309148270	39.09122242864400
20583X4	49.65831435079730	36.9856847816071
208020X3	43.52640545144800	33.38656271384690
208020X4	41.139240506329100	32.302173854083400
208020X5	33.97407241841750	29.562464094943100
208020X6	38.006482982171800	31.380987790687300
21183X1	49.308846761453400	36.0297043687639
21183X2	30.237912509593200	26.708122719173600
21183X3	46.9120654396728	34.97011465395800
21183X4	43.69676320272570	34.386477726565000
